key_id,service_trade_site_location_id,address_normalized,property_management_company_normalized,building_normalized,display_address,legacy_monthly_route_location_id,legacy_testing_site_id,keys_text,barcode_text,source,exported_at
600,,894 vernon avenue,firm management,,894 Vernon Avenue,1526,,CG 498,100220,legacy_location,2026-05-11T22:18:57.352487+00:00
601,,895 fort street,pacific arbour,,895 Fort Street,1527,,71,100176,legacy_location,2026-05-11T22:18:57.352487+00:00
600,,898 vernon avneue,firm management,,898 Vernon Avneue,1528,,CG 498,100220,legacy_location,2026-05-11T22:18:57.352487+00:00
600,,899 darwin avenue,firm management,,899 Darwin Avenue,1529,,CG 498,100220,legacy_location,2026-05-11T22:18:57.352487+00:00
604,,903 esquimalt road,proline management,,903 Esquimalt Road,1530,,457,100357,legacy_location,2026-05-11T22:18:57.352487+00:00
605,,906 southgate street,south island property mgmt (was strata plan vis 742,,906 Southgate Street,1531,,HT 609 K2,100989,legacy_location,2026-05-11T22:18:57.352487+00:00
606,,908 market street,starlight properties c/o devon properties,,908 Market Street,1532,,MS 809,100195,legacy_location,2026-05-11T22:18:57.352487+00:00
607,,908 pandora avenue,colliers,,908 Pandora Avenue,1533,,PD 809,100678,legacy_location,2026-05-11T22:18:57.352487+00:00
80,,909 fairfield road,red cross,,909 Fairfield Road,1534,,KEY AT SITE,,legacy_location,2026-05-11T22:18:57.352487+00:00
609,,909 pendergast street,devon properties,,909 Pendergast Street,1535,,GT 909,100905,legacy_location,2026-05-11T22:18:57.352487+00:00
610,,911 yates street & 990 view street,colliers,,911 Yates Street & 990 View Street,1536,,HG 099 K7,100349,legacy_location,2026-05-11T22:18:57.352487+00:00
611,,912 selkirk avenue,century 21 queenswood realty ltd.,,912 Selkirk Avenue,1537,,KK 219,100956,legacy_location,2026-05-11T22:18:57.352487+00:00
612,,914 yates street,colliers,,914 Yates Street,1538,,PG 419 K2,100692,legacy_location,2026-05-11T22:18:57.352487+00:00
613,,915 cook street,devon properties,,915 Cook Street,1539,,185,100439,legacy_location,2026-05-11T22:18:57.352487+00:00
614,,919 fort street,newport,,919 Fort Street,1540,,131,100935,legacy_location,2026-05-11T22:18:57.352487+00:00
615,,919 market street,pemberton residential,,919 Market Street,1541,,376,100327,legacy_location,2026-05-11T22:18:57.352487+00:00
616,,920 hillside avenue,tetcum property,,920 Hillside Avenue,1542,,385 (K2),100474,legacy_location,2026-05-11T22:18:57.352487+00:00
617,,925 esquimalt road,belmont properties,,925 Esquimalt Road,1543,,451,100309,legacy_location,2026-05-11T22:18:57.352487+00:00
618,,931 foul bay road,abbeyfield legacy society,,931 Foul Bay Road,1544,,AA 139 K1,100096,legacy_location,2026-05-11T22:18:57.352487+00:00
619,,938 dunford ave,tribe management,,938 Dunford Ave,1545,,TD 839 K3,,legacy_location,2026-05-11T22:18:57.352487+00:00
620,,942 preston way,pemberton holmes - residential,,942 Preston Way,1546,,RL 249 K3,100448,legacy_location,2026-05-11T22:18:57.352487+00:00
621,,945 reunion avenue,killam apartments reit,,945 Reunion Avenue,1547,,459,100567,legacy_location,2026-05-11T22:18:57.352487+00:00
622,,950 rockland avenue,pacific cove property management ltd as agent,,950 Rockland Avenue,1548,,VT 059 K2,100074,legacy_location,2026-05-11T22:18:57.352487+00:00
623,,955 cook street,devon properties,,955 Cook Street,1549,,50,100813,legacy_location,2026-05-11T22:18:57.352487+00:00
624,,964 heywood avenue,devon properties,,964 Heywood Avenue,1550,,WD 469,100780,legacy_location,2026-05-11T22:18:57.352487+00:00
657,,9667 first street,island views,,9667 First Street,1551,,FT7669,100265,legacy_location,2026-05-11T22:18:57.352487+00:00
625,,971 finlayson street,pacific quorum,,971 Finlayson Street,1552,,FG 179,100167,legacy_location,2026-05-11T22:18:57.352487+00:00
